"Cement","Blast.Furnace.Slag","Fly.Ash","Water","Superplasticizer","Coarse.Aggregate","Fine.Aggregate","Age","Strength"
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
190,190,0,228,0,932,670,28,40.86
198.6,132.4,0,192,0,978.4,825.5,28,28.02
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
439,177,0,186,11.1,884.9,707.9,91,73.3
237.5,237.5,0,228,0,932,594,90,33.12
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
237.5,237.5,0,228,0,932,594,7,26.26
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
427.5,47.5,0,228,0,932,594,90,41.54
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
439,177,0,186,11.1,884.9,707.9,56,71.7
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
439,177,0,186,11.1,884.9,707.9,3,39.3
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
332.5,142.5,0,228,0,932,594,28,33.02
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
425,106.3,0,151.4,18.6,936,803.7,7,46.8
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
439,177,0,186,11.1,884.9,707.9,28,66
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
190,190,0,228,0,932,670,270,50.66
266,114,0,228,0,932,670,365,52.91
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
238.1,0,94.1,186.7,7,949.9,847,28,30.23
238.1,0,94.1,186.7,7,949.9,847,14,25.69
332.5,142.5,0,228,0,932,594,7,30.28
304,76,0,228,0,932,670,28,47.81
380,0,0,228,0,932,670,90,52.91
425,106.3,0,151.4,18.6,936,803.7,91,66.7
380,95,0,228,0,932,594,180,40.76
139.6,209.4,0,192,0,1047,806.9,90,39.36
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
380,95,0,228,0,932,594,28,36.45
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
380,0,0,228,0,932,670,180,53.1
427.5,47.5,0,228,0,932,594,270,43.01
304,76,0,228,0,932,670,270,54.38
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
475,0,0,228,0,932,594,7,38.6
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
380,95,0,228,0,932,594,270,41.15
342,38,0,228,0,932,670,90,50.46
540,0,0,162,2.5,1040,676,28,79.99
380,95,0,228,0,932,594,365,43.7
389.9,189,0,145.9,22,944.7,755.8,91,82.6
190,190,0,228,0,932,670,90,42.33
475,0,0,228,0,932,594,28,39.29
266,114,0,228,0,932,670,28,45.85
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
304,76,0,228,0,932,670,365,55.26
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
238.1,0,94.1,186.7,7,949.9,847,56,39.59
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
332.5,142.5,0,228,0,932,594,270,40.27
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
342,38,0,228,0,932,670,270,55.06
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
540,0,0,162,2.5,1055,676,28,61.89
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
266,114,0,228,0,932,670,270,51.73
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
190,190,0,228,0,932,670,180,46.93
349,0,0,192,0,1047,806.9,3,15.05
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
425,106.3,0,151.4,18.6,936,803.7,28,61.8
139.6,209.4,0,192,0,1047,806.9,3,8.06
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
266,114,0,228,0,932,670,180,48.7
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
475,0,0,228,0,932,594,365,41.93
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
