"MZ","intensity"
4019.2,4.5011
4040.7,7.6878
4047.7,5.4765
4047.9,5.2511
4054.3,6.698
4059.9,5.9724
4107.4,6.0592
4139.7,6.69
4145.9,6.262
4150.2,0
4204.8,5.4301
4205,5.4932
4242,1.1524
4254.6,2.8823
4272.1,3.1906
4279.7,3.3629
4309.8,6.4314
4366.3,4.8735
4390.6,7.3868
4391,4.4524
4409.6,7.7596
4448.5,5.9824
4456.4,2.9903
4476.5,3.5014
4488.7,3.783
4508.8,6.3873
4519.2,6.5368
4526.9,4.5603
4547.3,2.3139
4569.7,2.7507
4626.4,5.1594
4635,6.6682
4638.7,6.8946
4642.5,4.7242
4669.5,5.0007
4715.5,12.413
4716.7,10.392
4738.8,19.57
4741.1,21.776
4757.6,27.902
4762,28.385
4774.6,36.817
4795.2,39.424
4802.5,39.406
4803.1,35.133
4804.1,36.695
4821.9,34.384
4836.6,30.363
4869.6,20.107
4904.1,10.129
4920.2,10.377
4956,5.8124
4965,1.5258
4969.6,6.3373
4994.5,6.7124
5002.9,7.4282
5073.6,7.3103
5105.9,5.963
5119.4,10.035
5129.4,11.09
5134.8,16.465
5140.6,13.189
5167,23.53
5170.6,24.106
5185.9,27.903
5200.4,29.376
5200.9,29.718
5202.4,30.972
5205.1,32.154
5226.1,29.395
5236.7,23.624
5245.3,19.094
5255.9,14.062
5261.1,12.915
5292.4,7.7271
5296.3,7.9893
5340,4.8969
5342.5,4.9452
5354.9,9.1702
5361.7,7.7529
5364.4,7.7735
5368.8,5.3169
5388,7.1549
5430.5,7.9312
5476.6,4.1737
5497,5.8658
5507.8,7.6023
5564.1,5.8271
5619.5,6.5713
5629.7,10.389
5635.9,9.2614
5667.2,6.6722
5690.9,7.3631
5710.6,6.6968
5716.7,6.8658
5732.4,6.3599
5762.8,3.8762
5778.6,3.4484
5784.5,8.1789
5794.5,5.6005
5809.4,7.4744
5813.1,7.5559
5913.1,5.8026
5955.1,11.152
6001.1,6.6661
6014.4,4.7837
6045.1,2.9012
6053.8,5.2611
6086.7,1.3202
6103.6,5.8642
6126.8,4.8194
6154.6,9.6151
6157.2,4.3988
6157.9,2.4296
6185.8,6.3876
6223.8,6.5449
6226.9,7.5043
6227.4,3.6905
6233.7,6.0331
6255.6,4.9365
6271.1,10.336
6307.3,4.5095
6318.7,5.236
6345.6,7.1578
6354.3,6.321
6365.9,3.8603
6404.9,8.2957
6416,6.1276
6416.9,6.4069
6454.5,1.6745
6479.9,3.3107
6489,11.161
6496.3,0.95352
6502.8,4.4449
6529.4,7.7667
6531.1,4.5568
6535.6,4.408
6558.4,4.7476
6577.1,7.1588
6593.1,6.6962
6597.9,4.8436
6710.9,7.2987
6793.3,4.5622
6798.5,7.6458
6824.8,5.502
6843.9,1.9501
6849.4,4.7316
6887.8,7.7801
6897.9,6.7078
6962.1,5.3447
6995.6,7.9931
7001.2,7.7272
7027.1,7.0131
7083.7,12.053
7084.9,10.121
7086,10.653
7124.1,12.186
7125.7,9.0675
7165.9,12.092
7177.1,11.493
7183,13.145
7211.3,13.399
7236.1,11.282
7248.6,9.9055
7257.7,12.263
7302.7,8.6082
7313.9,10.057
7336.1,9.9817
7372.9,6.7093
7404.6,5.1406
7407.1,9.4036
7427.5,5.5286
7427.8,6.1994
7451.3,4.1966
7455.5,6.5954
7484.4,10.711
7488.4,2.2788
7491,4.6515
7516.1,4.3076
7518.3,3.5711
7542.9,0.99728
7584.7,5.1614
7677.6,6.8357
7699.8,6.3449
7717.1,6.6454
7753.5,4.4584
7761.3,3.6454
7771.4,4.0511
7806.3,3.2299
7815.7,5.0185
7847.3,5.3106
7848,6.0043
7885.9,7.0582
7898.5,3.3504
7901,10.089
7907,4.2826
7936.2,4.8269
7964.2,6.1199
7986,5.2266
7987.7,5.6625
