ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2009762, 01-DEC-2017 00:00,2017,December,1,Friday,0,15,State Library,198
2010074, 01-DEC-2017 06:00,2017,December,1,Friday,6,35,Southbank,766
2010425, 01-DEC-2017 14:00,2017,December,1,Friday,14,8,Webb Bridge,194
2010967, 02-DEC-2017 01:00,2017,December,2,Saturday,1,35,Southbank,395
2009755, 01-DEC-2017 00:00,2017,December,1,Friday,0,4,Town Hall (West),359
2009756, 01-DEC-2017 00:00,2017,December,1,Friday,0,17,Collins Place (South),55
2009757, 01-DEC-2017 00:00,2017,December,1,Friday,0,18,Collins Place (North),42
2009758, 01-DEC-2017 00:00,2017,December,1,Friday,0,16,Australia on Collins,91
2009759, 01-DEC-2017 00:00,2017,December,1,Friday,0,2,Bourke Street Mall (South),95
2009760, 01-DEC-2017 00:00,2017,December,1,Friday,0,1,Bourke Street Mall (North),208
2009761, 01-DEC-2017 00:00,2017,December,1,Friday,0,3,Melbourne Central,450
2009763, 01-DEC-2017 00:00,2017,December,1,Friday,0,9,Southern Cross Station,34
2009764, 01-DEC-2017 00:00,2017,December,1,Friday,0,10,Victoria Point,13
2009765, 01-DEC-2017 00:00,2017,December,1,Friday,0,12,New Quay,68
2009766, 01-DEC-2017 00:00,2017,December,1,Friday,0,11,Waterfront City,65
2009767, 01-DEC-2017 00:00,2017,December,1,Friday,0,8,Webb Bridge,18
2009768, 01-DEC-2017 00:00,2017,December,1,Friday,0,7,Birrarung Marr,86
2009769, 01-DEC-2017 00:00,2017,December,1,Friday,0,5,Princes Bridge,381
2009770, 01-DEC-2017 00:00,2017,December,1,Friday,0,6,Flinders Street Station Underpass,408
2009771, 01-DEC-2017 00:00,2017,December,1,Friday,0,14,Sandridge Bridge,118
2009772, 01-DEC-2017 00:00,2017,December,1,Friday,0,26,QV Market-Elizabeth St (West),163
2009773, 01-DEC-2017 00:00,2017,December,1,Friday,0,24,Spencer St-Collins St (North),211
2009774, 01-DEC-2017 00:00,2017,December,1,Friday,0,23,Spencer St-Collins St (South),67
2009775, 01-DEC-2017 00:00,2017,December,1,Friday,0,25,Melbourne Convention Exhibition Centre,87
2009776, 01-DEC-2017 00:00,2017,December,1,Friday,0,21,Bourke St-Russell St (West),428
2009777, 01-DEC-2017 00:00,2017,December,1,Friday,0,20,Chinatown-Lt Bourke St (South),181
2009778, 01-DEC-2017 00:00,2017,December,1,Friday,0,19,Chinatown-Swanston St (North),219
2009779, 01-DEC-2017 00:00,2017,December,1,Friday,0,22,Flinders St-Elizabeth St (East),391
2009780, 01-DEC-2017 00:00,2017,December,1,Friday,0,27,QV Market-Peel St,32
2009781, 01-DEC-2017 00:00,2017,December,1,Friday,0,28,The Arts Centre,89
2009782, 01-DEC-2017 00:00,2017,December,1,Friday,0,31,Lygon St (West),156
2009783, 01-DEC-2017 00:00,2017,December,1,Friday,0,33,Flinders St-Spring St (West),15
2009784, 01-DEC-2017 00:00,2017,December,1,Friday,0,34,Flinders St-Spark La,24
2009785, 01-DEC-2017 00:00,2017,December,1,Friday,0,37,Lygon St (East),27
2009786, 01-DEC-2017 00:00,2017,December,1,Friday,0,40,Lonsdale St-Spring St (West),60
2009787, 01-DEC-2017 00:00,2017,December,1,Friday,0,36,Queen St (West),59
2009788, 01-DEC-2017 00:00,2017,December,1,Friday,0,29,St Kilda Rd-Alexandra Gardens,48
2009789, 01-DEC-2017 00:00,2017,December,1,Friday,0,42,Grattan St-Swanston St (West),70
2009790, 01-DEC-2017 00:00,2017,December,1,Friday,0,43,Monash Rd-Swanston St (West),2
2009791, 01-DEC-2017 00:00,2017,December,1,Friday,0,44,Tin Alley-Swanston St (West),4
2009792, 01-DEC-2017 00:00,2017,December,1,Friday,0,35,Southbank,413
2009793, 01-DEC-2017 00:00,2017,December,1,Friday,0,45,Little Collins St-Swanston St (East),252
2009794, 01-DEC-2017 00:00,2017,December,1,Friday,0,41,Flinders La-Swanston St (West),586
2009795, 01-DEC-2017 00:00,2017,December,1,Friday,0,46,Pelham St (S),4
2009796, 01-DEC-2017 00:00,2017,December,1,Friday,0,47,Melbourne Central-Elizabeth St (East),241
2009797, 01-DEC-2017 00:00,2017,December,1,Friday,0,48,QVM-Queen St (East),53
